distance_m,cache_tiles,world_center_x,traced_current_mb,traced_peak_mb,cache_bytes_est,elapsed_s
0.0,25,0,0.0004,0.0028,5600,0.0
50.0,70,9,0.0253,2.116,15680,0.05
100.0,120,19,0.0479,2.1385,26880,0.1
150.0,170,29,0.0697,2.1604,38080,0.15
200.0,220,39,0.0944,2.1851,49280,0.21
250.0,270,49,0.1131,2.2038,60480,0.27
300.0,320,59,0.1318,2.2224,71680,0.32
350.0,370,69,0.1589,2.2497,82880,0.38
400.0,420,79,0.178,2.2687,94080,0.44
450.0,470,89,0.1959,2.2866,105280,0.49
500.0,520,99,0.2127,2.3034,116480,0.54
550.0,570,109,0.2305,2.3212,127680,0.6
600.0,620,119,0.2486,2.3393,138880,0.66
650.0,670,129,0.2659,2.3566,150080,0.71
700.0,720,139,0.3027,2.3935,161280,0.77
750.0,770,149,0.3208,2.4115,172480,0.82
800.0,820,159,0.3393,2.4301,183680,0.87
850.0,870,169,0.3576,2.4483,194880,0.93
900.0,920,179,0.3747,2.4654,206080,0.98
950.0,970,189,0.393,2.4837,217280,1.04
1000.0,1020,199,0.4115,2.5023,228480,1.1
1050.0,1070,209,0.4308,2.5215,239680,1.16
1100.0,1120,219,0.4484,2.5391,250880,1.22
1150.0,1170,229,0.4666,2.5573,262080,1.27
1200.0,1220,239,0.4856,2.5763,273280,1.33
1250.0,1270,249,0.5037,2.5945,284480,1.38
1300.0,1320,259,0.5174,2.6083,295680,1.44
1350.0,1370,269,0.5675,2.6584,306880,1.49
1400.0,1420,279,0.5795,2.6704,318080,1.54
1450.0,1470,289,0.5889,2.6798,329280,1.6
1500.0,1520,299,0.5981,2.689,340480,1.66
1550.0,1570,309,0.6073,2.6982,351680,1.72
1600.0,1620,319,0.6167,2.7076,362880,1.78
1650.0,1670,329,0.6259,2.7169,374080,1.83
1700.0,1720,339,0.6352,2.7262,385280,1.9
1750.0,1770,349,0.6445,2.7354,396480,1.96
1800.0,1820,359,0.6538,2.7448,407680,2.01
1850.0,1870,369,0.663,2.7539,418880,2.07
1900.0,1920,379,0.6723,2.7632,430080,2.13
